,Week,Sessions Per Week,Cumulative Sessions To Date,Bandwidth Utilization Per Week (TB),Cumulative Bandwidth Utilization To Date (TB),Average Session Duration(sec),New Subscribers Per Week,Total Subscribers Per Week,Cumulative Subscribers To Date,Average Sessions Per Subscriber
0,Week of 2/29/2016,31523,161899,0.418,1.73,181,1022,2391,6116,13.1840234212
1,Week of 3/7/2016,54896,216795,0.635,1.84,167,2216,4041,8357,13.5847562485
2,Week of 3/14/2016,61217,285012,0.602,2.32,169,2587,4983,10984,12.2851695766
3,Week of 3/21/2016,103613,381766,1.103,3.21,189,5223,8322,15920,12.45049267
4,Week of 3/28/2016,158420,540186,1.315,5.28,173,6235,10961,22232,14.4530608521
5,Week of 4/4/2016,232615,772801,1.975,7.25,178,8558,15480,30901,15.0268087855
6,Week of 4/11/2016,265788,1038587,2.045,9.29,161,8354,17622,39355,15.0827374872
7,Week of 4/18/2016,295665,1334252,2.19,11.47,162,8918,19662,48412,15.0373817516
8,Week of 4/25/2016,398208,1732457,3.26,14.74,175,13938,26751,62517,14.8857238982
9,Week of 5/2/2016,461639,2194096,3.74,18.48,177,14630,30871,77352,14.9538077808
10,Week of 5/9/2016,534479,2728575,4.39,22.87,176,15366,34288,92941,15.5879316379
11,Week of 5/16/2016,564942,3293515,4.43,27.3,178,15536,36269,108671,15.5764426921
12,Week of 5/23/2016,630668,3924182,5.03,32.33,175,16277,39053,125157,16.1490282437
13,Week of 5/30/2016,626790,4550969,4.75,37.08,177,15618,40251,141040,15.5720354774
14,Week of 6/6/2016,687625,5238591,5.49,42.57,177,15186,41830,156436,16.4385608415
15,Week of 6/13/2016,714250,5952837,5.6,48.17,175,15492,43526,172136,16.4097321141
16,Week of 6/20/2016,738350,6691186,5.6,53.77,175,16544,45667,188868,16.1681301596
17,Week of 6/27/2016,752740,7443924,5.7,59.47,175,16445,46572,205533,16.1629305162
18,Week of 7/4/2016,746462,8190384,6.19,65.66,186,18204,48709,223955,15.3249296845
19,Week of 7/11/2016,893033,9083415,6.7,72.36,175,21429,56359,245704,15.845437286
20,Week of 7/18/2016,1035958,10119373,7.79,80.15,177,26371,64733,272394,16.0035530564
21,Week of 7/25/2016,1193660,11313032,8.65,88.79,175,29405,71664,302184,16.656340701
22,Week of 8/1/2016,1377833,12697236,10.37,102.84,193,21611,67277,321912,20.4800005946
23,Week of 8/8/2016,1585082,14282318,12.29,115.13,202,28378,73728,350592,21.4990505642
24,Week of 8/15/2016,1663717,15946035,12.7,127.83,205,30799,79126,381696,21.0261734449
25,Week of 8/21/2016,1775886,17721921,13.91,141.74,203,32248,83605,414213,21.2413850846
26,Week of 8/29/2016,1641374,19363295,13.73,155.48,207,24616,77424,439082,21.1998088448
27,Week of 9/5/2016,1728568,21091863,13.84,169.31,202,24129,78640,463460,21.9807731434
28,Week of 9/12/2016,1822249,22914112,15.36,184.68,196,25714,83660,489405,21.7816041119
29,Week of 9/19/2016,785022,23699134,16.42,191.1,196,10288,54908,499761,14.2970423253
30,Week of 9/26/2016,2569162,28663930,19.31,224.59,299,30867,201612,607188,12.7431006091
31,Week of 10/3/2016,2656233,31320163,20.08,244.67,316,34317,209943,641505,12.6521627299
32,Week of 10/10/2016,2797828,34117991,21.42,266.09,326,30225,217831,671730,12.844030464
33,Week of 10/17/2016,2966555,37084545,22.58,288.67,405,25357,225031,697087,13.182872582
34,Week of 10/24/2016,3004361,40088906,21.37,310.04,401,30726,228912,727813,13.1245238345
35,Week of 10/31/2016,3339811,43428717,26.13,336.17,350,36036,240833,763849,13.8677465298
36,Week of 11/7/2016,3415825,46844542,26.96,363.13,337,20821,243175,784670,14.0467770124
37,Week of 11/14/2016,3711319,50555861,26.27,389.4,308,28792,246763,813462,15.0400141026
38,Week of 11/21/2016,3374213,53930074,24.52,413.64,364,31653,246122,845115,13.7095139809
39,Week of 11/28/2016,3820644,57750718,27.01,440.64,485,25809,254982,870924,14.9839753394
40,Week of 12/5/2016,3918249,61668967,27.75,468.39,251,24861,261267,895785,14.9971064084
41,Week of 12/12/2016,3856446,65525413,27.53,495.92,359,25617,257312,921402,14.9874316005
42,Week of 12/19/2016,4007559,69532972,29.02,524.94,350,40073,268875,961475,14.9049149233
43,Week of 12/26/2016,4306985,73839957,30.77,555.71,489,42729,296875,1004204,14.5077389474
44,Week of 1/2/2017,4020306,77860263,29.2,554.14,414,33774,283136,1037978,14.1992046225
45,Week of 1/9/2017,3890622,81750885,26.75,611.66,427,21907,271031,1059885,14.3548966723
46,Week of 1/16/2017,4160809,85911694,28.64,644.18,269,26696,278513,1086581,14.9393708732
47,Week of 1/23/2017,4323824,90235518,30.26,678.13,269,24368,285875,1110949,15.1248762571
48,Week of 1/30/2017,4656164,94891682,32.24,714.74,294,27572,296558,1138521,15.7006858692
49,Week of 2/6/2017,4528495,99420177,31.07,750.13,295,23262,297366,1161783,15.2286912424
50,Week of 2/13/2017,5080560,104500737,32.72,787.71,297,33196,322806,1194979,15.7387409156
51,Week of 2/20/2017,5276948,109777685,36.25,829.4,264,33925,335773,1228904,15.715819914
52,Week of 2/27/2017,5395485,115173170,36.57,870.86,260,27546,337532,1256450,15.9851065973
53,Week of 3/6/2017,5246526,120419696,36.08,911.88,262,24201,337109,1280651,15.5632925849
54,Week of 3/13/2017,5089725,125509421,34.37,951.31,275,28588,329391,1309239,15.451924916
55,Week of 3/20/2017,5967035,131476456,39.91,996.62,265,30209,353800,1339448,16.8655596382
