Week,Sessions Per Week,Cumulative Sessions To Date,Bandwidth Utilization Per Week (TB),Cumulative Bandwidth Utilization To Date (TB),Average Session Duration,New Subscribers Per Week,Total Subscribers Per Week,Cumulative Subscribers To Date
Week of 2/29/2016,31523,161899,0.418,1.73,0:03:01,1022,2391,6116
Week of 3/7/2016,54896,216795,0.635,1.84,0:02:47,2216,4041,8357
Week of 3/14/2016,61217,285012,0.602,2.32,0:02:49,2587,4983,10984
Week of 3/21/2016,103613,381766,1.103,3.21,0:03:09,5223,8322,15920
Week of 3/28/2016,158420,540186,1.315,5.28,0:02:53,6235,10961,22232
Week of 4/4/2016,232615,772801,1.975,7.25,0:02:58,8558,15480,30901
Week of 4/11/2016,265788,1038587,2.045,9.29,0:02:41,8354,17622,39355
Week of 4/18/2016,295665,1334252,2.19,11.47,0:02:42,8918,19662,48412
Week of 4/25/2016,398208,1732457,3.26,14.74,0:02:55,13938,26751,62517
Week of 5/2/2016,461639,2194096,3.74,18.48,0:02:57,14630,30871,77352
Week of 5/9/2016,534479,2728575,4.39,22.87,0:02:56,15366,34288,92941
Week of 5/16/2016,564942,3293515,4.43,27.3,0:02:58,15536,36269,108671
Week of 5/23/2016,630668,3924182,5.03,32.33,0:02:55,16277,39053,125157
Week of 5/30/2016,626790,4550969,4.75,37.08,0:02:57,15618,40251,141040
Week of 6/6/2016,687625,5238591,5.49,42.57,0:02:57,15186,41830,156436
Week of 6/13/2016,714250,5952837,5.6,48.17,0:02:55,15492,43526,172136
Week of 6/20/2016,738350,6691186,5.6,53.77,0:02:55,16544,45667,188868
Week of 6/27/2016,752740,7443924,5.7,59.47,0:02:55,16445,46572,205533
Week of 7/4/2016,746462,8190384,6.19,65.66,0:03:06,18204,48709,223955
Week of 7/11/2016,893033,9083415,6.7,72.36,0:02:55,21429,56359,245704
Week of 7/18/2016,1035958,10119373,7.79,80.15,0:02:57,26371,64733,272394
Week of 7/25/2016,1193660,11313032,8.65,88.79,0:02:55,29405,71664,302184
Week of 8/1/2016,1377833,12697236,10.37,102.84,0:03:13,21611,67277,321912
Week of 8/8/2016,1585082,14282318,12.29,115.13,0:03:22,28378,73728,350592
Week of 8/15/2016,1663717,15946035,12.7,127.83,0:03:25,30799,79126,381696
Week of 8/21/2016,1775886,17721921,13.91,141.74,0:03:23,32248,83605,414213
Week of 8/29/2016,1641374,19363295,13.73,155.48,0:03:27,24616,77424,439082
Week of 9/5/2016,1728568,21091863,13.84,169.31,0:03:22,24129,78640,463460
Week of 9/12/2016,1822249,22914112,15.36,184.68,0:03:16,25714,83660,489405
Week of 9/19/2016,785022,23699134,16.42,191.1,0:03:16,10288,54908,499761
Week of 9/26/2016,2569162,28663930,19.31,224.59,0:04:59,30867,201612,607188
Week of 10/3/2016,2656233,31320163,20.08,244.67,0:05:16,34317,209943,641505
Week of 10/10/2016,2797828,34117991,21.42,266.09,0:05:26,30225,217831,671730
Week of 10/17/2016,2966555,37084545,22.58,288.67,0:06:45,25357,225031,697087
Week of 10/24/2016,3004361,40088906,21.37,310.04,0:06:41,30726,228912,727813
Week of 10/31/2016,3339811,43428717,26.13,336.17,0:05:50,36036,240833,763849
Week of 11/7/2016,3415825,46844542,26.96,363.13,0:05:37,20821,243175,784670
Week of 11/14/2016,3711319,50555861,26.27,389.4,0:05:08,28792,246763,813462
Week of 11/21/2016,3374213,53930074,24.52,413.64,0:06:04,31653,246122,845115
Week of 11/28/2016,3820644,57750718,27.01,440.64,0:08:05,25809,254982,870924
Week of 12/5/2016,3918249,61668967,27.75,468.39,NA,24861,261267,895785
Week of 12/12/2016,3856446,65525413,27.53,495.92,0:05:59,25617,257312,921402
Week of 12/19/2016,4007559,69532972,29.02,524.94,0:05:50,40073,268875,961475
Week of 12/26/2016,4306985,73839957,30.77,555.71,0:08:09,42729,296875,1004204
Week of 1/2/2017,4020306,77860263,29.2,554.14,0:06:54,33774,283136,1037978
Week of 1/9/2017,3890622,81750885,26.75,611.66,0:07:07,21907,271031,1059885
Week of 1/16/2017,4160809,85911694,28.64,644.18,0:04:29,26696,278513,1086581
Week of 1/23/2017,4323824,90235518,30.26,678.13,0:04:29,24368,285875,1110949
Week of 1/30/2017,4656164,94891682,32.24,714.74,0:04:54,27572,296558,1138521
Week of 2/6/2017,4528495,99420177,31.07,750.13,0:04:55,23262,297366,1161783
Week of 2/13/2017,5080560,104500737,32.72,787.71,0:04:57,33196,322806,1194979
Week of 2/20/2017,5276948,109777685,36.25,829.4,0:04:24,33925,335773,1228904
Week of 2/27/2017,5395485,115173170,36.57,870.86,0:04:20,27546,337532,1256450
Week of 3/6/2017,5246526,120419696,36.08,911.88,0:04:22,24201,337109,1280651
Week of 3/13/2017,5089725,125509421,34.37,951.31,0:04:35,28588,329391,1309239
Week of 3/20/2017,5967035,131476456,39.91,996.62,0:04:25,30209,353800,1339448
